iter	Passed	Remaining
0	57	57632
1	58	28970
2	58	19400
3	58	14640
4	59	11747
5	59	9820
6	59	8464
7	59	7430
8	60	6635
9	60	5985
10	60	5459
11	60	5020
12	61	4650
13	61	4334
14	61	4062
15	62	3820
16	62	3609
17	62	3419
18	62	3250
19	63	3097
20	63	2958
21	63	2832
22	63	2717
23	64	2611
24	64	2512
25	64	2424
26	64	2341
27	65	2263
28	65	2190
29	65	2124
30	65	2062
31	66	2006
32	66	1952
33	66	1899
34	67	1850
35	67	1805
36	67	1762
37	68	1721
38	68	1681
39	68	1646
40	68	1610
41	69	1576
42	69	1544
43	69	1513
44	69	1484
45	70	1456
46	70	1428
47	70	1402
48	71	1378
49	71	1354
50	71	1331
51	71	1308
52	72	1286
53	72	1266
54	72	1247
55	72	1228
56	73	1210
57	73	1193
58	73	1176
59	74	1159
60	74	1143
61	74	1127
62	74	1113
63	75	1099
64	75	1085
65	75	1072
66	76	1059
67	76	1047
68	76	1035
69	77	1023
70	77	1011
71	77	1000
72	77	990
73	78	979
74	78	969
75	78	958
76	79	948
77	79	938
78	79	928
79	79	919
80	80	910
81	80	902
82	80	891
83	80	882
84	81	874
85	81	867
86	81	859
87	82	851
88	82	843
89	82	835
90	82	827
91	83	819
92	83	812
93	83	806
94	83	799
95	84	793
96	84	787
97	84	780
98	85	774
99	85	767
100	85	760
101	85	755
102	86	749
103	86	743
104	86	737
105	86	732
106	87	727
107	87	722
108	87	717
109	88	712
110	88	709
111	88	705
112	89	700
113	89	695
114	89	691
115	90	686
116	90	682
117	90	677
118	90	672
119	91	668
120	91	663
121	91	659
122	91	655
123	92	651
124	92	647
125	92	644
126	93	639
127	93	635
128	93	631
129	93	627
130	94	623
131	94	620
132	94	616
133	94	613
134	95	609
135	95	606
136	95	602
137	95	599
138	96	596
139	96	593
140	96	590
141	97	586
142	97	582
143	97	580
144	97	576
145	98	573
146	98	570
147	98	567
148	98	564
149	99	561
150	99	559
151	99	556
152	100	553
153	100	551
154	100	548
155	100	546
156	101	543
157	101	541
158	101	539
159	102	536
160	102	533
161	102	530
162	102	528
163	103	525
164	103	523
165	103	520
166	103	518
167	104	516
168	104	513
169	104	511
170	104	508
171	105	506
172	105	504
173	105	501
174	105	499
175	106	496
176	106	494
177	106	492
178	106	490
179	107	488
180	107	486
181	107	485
182	108	483
183	108	481
184	108	478
185	109	477
186	109	475
187	109	473
188	109	471
189	110	469
190	110	467
191	110	465
192	110	464
193	111	462
194	111	460
195	111	458
196	112	457
197	112	455
198	112	454
199	113	452
200	113	450
201	113	448
202	113	447
203	114	445
204	114	444
205	114	442
206	115	440
207	115	439
208	115	437
209	115	435
210	116	433
211	116	432
212	116	430
213	116	429
214	117	427
215	117	426
216	118	426
217	118	425
218	118	423
219	119	424
220	120	423
221	120	422
222	120	420
223	121	419
224	121	417
225	121	416
226	121	414
227	122	413
228	122	411
229	122	410
230	123	409
231	123	408
232	123	406
233	123	405
234	124	404
235	124	402
236	124	401
237	124	400
238	125	398
239	125	397
240	125	396
241	126	394
242	126	393
243	126	392
244	126	391
245	127	389
246	127	388
247	127	387
248	128	386
249	128	384
250	128	383
251	128	382
252	129	381
253	129	380
254	129	379
255	130	377
256	130	376
257	130	375
258	130	374
259	131	373
260	131	372
261	131	371
262	132	370
263	132	368
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	134	362
270	134	361
271	134	360
272	134	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	354
278	136	353
279	136	352
280	137	351
281	137	350
282	138	349
283	138	348
284	138	347
285	138	346
286	139	345
287	139	344
288	139	343
289	140	342
290	140	341
291	140	340
292	140	339
293	141	339
294	141	338
295	141	337
296	142	336
297	142	335
298	142	334
299	142	333
300	143	332
301	143	331
302	143	330
303	143	329
304	144	328
305	144	327
306	144	326
307	145	325
308	145	324
309	145	324
310	145	323
311	146	322
312	146	321
313	146	320
314	147	320
315	147	319
316	147	318
317	148	317
318	148	316
319	148	316
320	149	315
321	149	314
322	149	313
323	150	313
324	150	312
325	150	311
326	150	310
327	151	309
328	151	308
329	151	308
330	151	307
331	152	306
332	152	305
333	152	304
334	153	303
335	153	303
336	153	302
337	154	301
338	154	300
339	154	300
340	154	299
341	155	298
342	155	297
343	155	297
344	156	296
345	156	295
346	156	294
347	156	293
348	157	293
349	157	292
350	157	291
351	157	290
352	158	289
353	158	289
354	158	288
355	159	287
356	159	287
357	159	286
358	160	285
359	160	285
360	160	284
361	160	283
362	161	282
363	161	281
364	161	281
365	161	280
366	162	279
367	162	279
368	162	278
369	163	277
370	163	276
371	163	276
372	163	275
373	164	274
374	164	273
375	164	273
376	164	272
377	165	271
378	165	271
379	165	270
380	166	269
381	166	269
382	166	268
383	166	267
384	167	267
385	167	266
386	167	265
387	167	264
388	168	264
389	168	263
390	168	262
391	168	262
392	169	261
393	169	260
394	169	260
395	170	259
396	170	258
397	170	258
398	170	257
399	171	256
400	171	256
401	171	255
402	172	254
403	172	254
404	172	253
405	172	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	248
414	175	247
415	175	246
416	176	246
417	176	245
418	176	244
419	176	244
420	177	243
421	177	242
422	177	242
423	177	241
424	178	241
425	178	240
426	178	239
427	179	239
428	179	238
429	179	238
430	179	237
431	180	236
432	180	236
433	180	235
434	180	234
435	181	234
436	182	234
437	182	233
438	182	233
439	182	232
440	183	232
441	183	231
442	183	230
443	183	230
444	183	229
445	184	228
446	184	228
447	184	227
448	185	227
449	185	226
450	185	225
451	185	225
452	186	224
453	186	224
454	186	223
455	187	223
456	187	222
457	187	222
458	187	221
459	188	220
460	188	220
461	188	219
462	188	219
463	189	218
464	189	217
465	189	217
466	189	216
467	190	216
468	190	215
469	190	214
470	190	214
471	191	213
472	191	213
473	191	212
474	191	211
475	192	211
476	192	210
477	192	210
478	192	209
479	193	209
480	193	208
481	193	207
482	193	207
483	193	206
484	194	206
485	194	205
486	194	205
487	194	204
488	195	203
489	195	203
490	195	202
491	195	202
492	196	201
493	196	201
494	196	200
495	196	199
496	196	199
497	197	198
498	197	198
499	197	197
500	197	197
501	198	196
502	199	196
503	199	196
504	199	195
505	199	195
506	200	194
507	200	194
508	200	193
509	200	192
510	201	192
511	201	192
512	201	191
513	202	191
514	202	190
515	202	189
516	202	189
517	202	188
518	203	188
519	203	187
520	203	187
521	203	186
522	203	186
523	204	185
524	204	184
525	204	184
526	204	183
527	205	183
528	205	182
529	205	182
530	205	181
531	206	181
532	206	180
533	206	180
534	206	179
535	207	179
536	207	178
537	207	178
538	207	177
539	208	177
540	208	176
541	208	176
542	208	175
543	209	175
544	209	174
545	209	174
546	209	173
547	210	173
548	210	172
549	210	172
550	210	171
551	211	171
552	211	170
553	211	170
554	211	169
555	211	169
556	212	168
557	212	168
558	212	167
559	212	167
560	213	166
561	213	166
562	213	165
563	213	165
564	213	164
565	214	164
566	214	163
567	214	163
568	214	162
569	215	162
570	215	161
571	215	161
572	215	160
573	216	160
574	216	159
575	216	159
576	216	158
577	217	158
578	217	158
579	217	157
580	217	157
581	218	156
582	218	156
583	218	155
584	218	155
585	219	154
586	219	154
587	219	153
588	219	153
589	220	152
590	220	152
591	220	152
592	220	151
593	220	151
594	221	150
595	221	150
596	221	149
597	221	149
598	222	148
599	222	148
600	222	147
601	222	147
602	223	146
603	223	146
604	223	145
605	223	145
606	224	145
607	224	144
608	224	144
609	224	143
610	224	143
611	225	142
612	225	142
613	225	141
614	226	141
615	226	141
616	226	140
617	226	140
618	227	139
619	227	139
620	227	138
621	227	138
622	227	137
623	228	137
624	228	137
625	228	136
626	228	136
627	229	135
628	229	135
